solver,update,branch,status,theta_dim,decision_dim,gradient_rank,solve_time_sec,feasible_x,objective_value,active_rows
full,78,feasible,optimal,25994,25994,5,0.5514247000010073,0.2204331052708625,0.2204331052708625,
full,79,feasible,optimal,25994,25994,5,0.5480446000001393,0.2461431185910614,0.2461431185910614,
full,80,feasible,optimal,25994,25994,5,0.5667398999994475,0.26750324721820146,0.26750324721820146,
full,81,feasible,optimal,25994,25994,5,0.5599598000007973,0.2879126871066128,0.2879126871066128,
full,82,feasible,optimal,25994,25994,5,0.5598524999986694,0.30236459784422814,0.30236459784422814,
full,83,feasible,optimal,25994,25994,5,0.5305687000000034,0.31505852958935393,0.31505852958935393,
full,84,feasible,optimal,25994,25994,5,0.5365847000011854,0.3223528260050723,0.3223528260050723,
full,85,feasible,optimal,25994,25994,5,0.5725609000000986,0.32664987497509923,0.32664987497509923,
full,86,feasible,optimal,25994,25994,5,0.5832632000001468,0.335307390362651,0.335307390362651,
full,87,feasible,optimal,25994,25994,5,0.5483593000008113,0.3362887272421071,0.3362887272421071,
full,88,feasible,optimal,25994,25994,5,0.5267054999985703,0.331707732436898,0.331707732436898,
full,89,feasible,optimal,25994,25994,5,0.5326862999991135,0.33225579329183474,0.33225579329183474,
full,90,feasible,optimal,25994,25994,5,0.5315265000008367,0.33543706007709423,0.33543706007709423,
full,91,feasible,optimal,25994,25994,5,0.5500073000002885,0.33786501746114317,0.33786501746114317,
full,92,feasible,optimal,25994,25994,5,0.5141070000008767,0.34177876810640684,0.34177876810640684,
full,93,feasible,optimal,25994,25994,5,0.5240661000007094,0.3499016592127754,0.3499016592127754,
full,94,feasible,optimal,25994,25994,5,0.49713250000058906,0.3568437221475499,0.3568437221475499,
full,95,feasible,optimal,25994,25994,5,0.4970228000001953,0.36800337360602414,0.36800337360602414,
full,96,feasible,optimal,25994,25994,5,0.48202929999933986,0.37102707648154404,0.37102707648154404,
full,97,feasible,optimal,25994,25994,5,0.48382130000027246,0.3785374086906589,0.3785374086906589,
full,98,feasible,optimal,25994,25994,5,0.5046361999993678,0.38270642011700706,0.38270642011700706,
full,99,feasible,optimal,25994,25994,5,0.5157272999986162,0.3848722590134816,0.3848722590134816,
full,100,feasible,optimal,25994,25994,5,0.5299837999991723,0.3840515656324464,0.3840515656324464,
full,101,feasible,optimal,25994,25994,5,0.5224527000009402,0.3878620962241125,0.3878620962241125,
full,102,feasible,optimal,25994,25994,5,0.5766872999993211,0.38984797334733945,0.38984797334733945,
full,103,feasible,optimal,25994,25994,5,0.538499000000229,0.38833706273766216,0.38833706273766216,
full,104,feasible,optimal,25994,25994,5,0.5296066999999312,0.393421084379484,0.393421084379484,
full,105,feasible,optimal,25994,25994,5,0.5487632000003941,0.40060324955446375,0.40060324955446375,
full,106,feasible,optimal,25994,25994,5,0.577796199999284,0.40655218091797796,0.40655218091797796,
full,107,feasible,optimal,25994,25994,5,0.5051946000003227,0.40942705850830824,0.40942705850830824,
full,108,feasible,optimal,25994,25994,5,0.518082399999912,0.41321051445542484,0.41321051445542484,
full,109,feasible,optimal,25994,25994,5,0.5034455000004527,0.41686656472510103,0.41686656472510103,
full,110,feasible,optimal,25994,25994,5,0.5035957000000053,0.41422678629034615,0.41422678629034615,
full,111,feasible,optimal,25994,25994,5,0.45856090000052063,0.41173385948301244,0.41173385948301244,
full,112,feasible,optimal,25994,25994,5,0.518390699999145,0.40558864958150437,0.40558864958150437,
full,113,feasible,optimal,25994,25994,5,0.49901259999933245,0.40014104738422124,0.40014104738422124,
full,114,feasible,optimal,25994,25994,5,0.5193492999987939,0.3925968105000191,0.3925968105000191,
full,115,feasible,optimal,25994,25994,5,0.5049729000002117,0.38200299604783167,0.38200299604783167,
full,116,feasible,optimal,25994,25994,5,0.5005675000011252,0.36895979098380377,0.36895979098380377,
full,117,feasible,optimal,25994,25994,5,0.5177648999997473,0.3584245399491145,0.3584245399491145,
full,118,feasible,optimal,25994,25994,5,0.5033946000003198,0.3512651596578426,0.3512651596578426,
full,119,feasible,optimal,25994,25994,5,0.49562429999969027,0.3424435990475115,0.3424435990475115,
full,120,feasible,optimal,25994,25994,5,0.4844489999995858,0.3384060770125481,0.3384060770125481,
full,121,feasible,optimal,25994,25994,5,0.4932561999994505,0.3325830262156463,0.3325830262156463,
full,122,feasible,optimal,25994,25994,5,0.5353417999995145,0.32654259653722767,0.32654259653722767,
full,123,feasible,optimal,25994,25994,5,0.5240044000001944,0.3209576052738373,0.3209576052738373,
full,124,feasible,optimal,25994,25994,5,0.48918940000112343,0.3158016033047071,0.3158016033047071,
full,125,feasible,optimal,25994,25994,5,0.4975616000010632,0.3133976100059392,0.3133976100059392,
