episode,db_objective,legacy_objective,objective_delta_db_minus_legacy,db_cost,legacy_cost,cost_delta_db_minus_legacy
66,2.7882257081933064,6.267586992980139,-3.4793612847868323,0.5881199051330366,0.27383627948627004,0.31428362564676654
67,2.8607089756319546,6.170463033514881,-3.3097540578829268,0.595691068194578,0.41468973715323143,0.18100133104134652
68,2.9006633525508447,6.509509286617222,-3.608845934066377,0.6370795796561947,0.31824329650245703,0.31883628315373763
69,2.938507961681154,6.353841357747166,-3.4153333960660124,0.5116132511652042,0.30673388093987974,0.20487937022532443
70,2.8543118918571366,6.2226008934207995,-3.368289001563663,0.6524641901843453,0.3493439521668487,0.3031202380174966
71,2.9438687608870002,5.840004889194031,-2.8961361283070306,0.6224506796228493,0.3720999768264929,0.2503507027963564
72,3.2854721525928925,6.221742878503866,-2.9362707259109735,0.5517223288287012,0.3397752565505555,0.2119470722781457
73,3.157784938030393,6.2525636073278825,-3.0947786692974897,0.6604432426150865,0.30276460913165487,0.3576786334834316
74,3.5147227868436475,6.331210755990519,-2.816487969146871,0.4487566254786841,0.3002644720910495,0.1484921533876346
75,2.9711156727525063,5.4794974172864865,-2.50838174453398,0.860323703301306,0.5913591252141718,0.26896457808713425
76,3.3193087543671855,6.116483141782783,-2.797174387415598,0.7639580256113799,0.4002714600576641,0.3636865655537158
77,3.430109687514406,5.378667000358356,-1.94855731284395,0.5014723688516327,0.4407490305337875,0.06072333831784521
78,3.6558218788312304,5.8946234998970946,-2.238801621065864,0.511012439282331,0.40963417974175365,0.10137825954057733
79,3.3780183631072065,6.195335576041455,-2.817317212934248,0.7089782287328212,0.3306084846999754,0.37836974403284585
80,3.3764552234478047,5.7425851609929115,-2.366129937545107,0.8814425643405053,0.42563575698075645,0.4558068073597488
81,3.6991437718018294,5.768518384088074,-2.069374612286244,0.7047687799559784,0.35956244907077517,0.34520633088520325
82,3.7599770780374797,5.3478153371707355,-1.5878382591332558,0.7694407156533174,0.4097776056327009,0.3596631100206165
83,3.878316785554527,5.7549530928052,-1.8766363072506733,0.7030115025512079,0.40668919645750584,0.2963223060937021
84,4.015183666680591,5.55014440705445,-1.534960740373859,0.5000811310580239,0.3792677281432511,0.12081340291477277
85,4.693837343022233,5.450223791411661,-0.7563864483894278,0.5269704963668279,0.501973043215643,0.024997453151184956
86,4.450605057784855,5.873760761256182,-1.4231557034713278,0.549178442508642,0.2904312716512111,0.25874717085743093
87,4.6378808653852195,5.048415218447936,-0.41053435306271613,0.5320864606475615,0.4113884129913297,0.12069804765623177
88,4.836749243320361,5.429803610797234,-0.5930543674768725,0.47665977211439414,0.4032436568448978,0.07341611526949632
89,4.9661722976773355,5.228707970492991,-0.2625356728156554,0.3621821991422407,0.43749129063331965,-0.07530909149107895
90,4.605060031065996,4.3816377449334425,0.22342228613255344,0.8763587241154853,0.6058615693256292,0.27049715478985614
91,5.030477762795382,5.157403035807245,-0.12692527301186285,0.5862654585871581,0.5694162273040692,0.016849231283088906
92,4.685062110096427,4.953758673133606,-0.2686965630371789,0.9710308598183847,0.5353594304314891,0.4356714293868955
93,4.911792235290807,4.947129325167742,-0.03533708987693451,0.599222571831124,0.5846988193809548,0.014523752450169236
94,4.993761827537594,5.064908659071652,-0.07114683153405821,0.6535753089216062,0.43715349456808883,0.21642181435351737
95,5.253378314248986,5.0137677289561875,0.2396105852927981,0.6619035261182346,0.5181316790367532,0.14377184708148139
96,5.746844593839792,5.2170280075943,0.5298165862454915,0.4289535546896414,0.4452693579124514,-0.01631580322281001
97,4.717578625255256,5.089528740745249,-0.3719501154899927,0.7837368134393655,0.529757476759619,0.2539793366797465
98,5.16612299421007,5.275207648944693,-0.10908465473462226,0.8677577749984935,0.4640153210675201,0.4037424539309734
99,5.514923363691066,4.546594461365289,0.9683289023257773,0.7232975323849398,0.5403461419784678,0.18295139040647201
100,6.158696101347277,4.7478998538711945,1.4107962474760827,0.3984395823917692,0.45534167021991556,-0.056902087828146375
