solver,update,branch,status,theta_dim,decision_dim,gradient_rank,solve_time_sec,feasible_x,objective_value,active_rows
dual,185,feasible,optimal,25994,4,5,0.0009328999985882547,0.08676694945302046,0.08676694945302046,3
dual,186,feasible,optimal,25994,4,5,0.001301299998885952,0.083251180021087,0.083251180021087,3
dual,187,feasible,optimal,25994,4,5,0.0012279000002308749,0.07940112223635723,0.07940112223635723,3
dual,188,feasible,optimal,25994,4,5,0.0008878000007825904,0.0756574586526324,0.0756574586526324,3
dual,189,feasible,optimal,25994,4,5,0.0008959000006143469,0.0758490419564392,0.0758490419564392,3
dual,190,feasible,optimal,25994,4,5,0.0009458000022277702,0.07666304104124406,0.07666304104124406,3
dual,191,feasible,optimal,25994,4,5,0.0016127999988384545,0.0765565681609984,0.0765565681609984,3
dual,192,feasible,optimal,25994,4,5,0.0011042999976780266,0.07640745432946734,0.07640745432946734,3
dual,193,feasible,optimal,25994,4,5,0.000980399996478809,0.07703888769125479,0.07703888769125479,3
dual,194,feasible,optimal,25994,4,5,0.001384800001687836,0.0799138584715454,0.0799138584715454,3
dual,195,feasible,optimal,25994,4,5,0.0008708999994269107,0.08358125646910256,0.08358125646910256,3
dual,196,feasible,optimal,25994,4,5,0.0009028999993461184,0.08994387169196262,0.08994387169196262,3
dual,197,feasible,optimal,25994,4,5,0.0009767999981704634,0.09866273089220581,0.09866273089220581,3
dual,198,feasible,optimal,25994,4,5,0.0009304000013798941,0.1074580566113641,0.1074580566113641,3
dual,199,feasible,optimal,25994,4,5,0.0009561000006215181,0.11124120256044406,0.11124120256044406,3
dual,200,feasible,optimal,25994,4,5,0.0008895999999367632,0.11463083536086029,0.11463083536086029,3
dual,201,feasible,optimal,25994,4,5,0.0008830000006128103,0.11630930316801785,0.11630930316801785,3
dual,202,feasible,optimal,25994,4,5,0.0010032999998657033,0.11812457896965411,0.11812457896965411,3
dual,203,feasible,optimal,25994,4,5,0.0009541999970679171,0.11927597383741172,0.11927597383741172,3
dual,204,feasible,optimal,25994,4,5,0.0008613999998487998,0.1237371085193695,0.1237371085193695,3
dual,205,feasible,optimal,25994,4,5,0.0009046000013768207,0.12548714652173198,0.12548714652173198,3
dual,206,feasible,optimal,25994,4,5,0.0008718000026419759,0.12646845021788886,0.12646845021788886,3
dual,207,feasible,optimal,25994,4,5,0.000854799996886868,0.12596693376116355,0.12596693376116355,3
dual,208,feasible,optimal,25994,4,5,0.0012148999994678888,0.12387604444556649,0.12387604444556649,3
dual,209,feasible,optimal,25994,4,5,0.0009021000005304813,0.12401569482241,0.12401569482241,3
dual,210,feasible,optimal,25994,4,5,0.0008855000014591496,0.12625886325121444,0.12625886325121444,3
dual,211,feasible,optimal,25994,4,5,0.0008760000018810388,0.12949670904873758,0.12949670904873758,3
dual,212,feasible,optimal,25994,4,5,0.0008604000031482428,0.13159779065371893,0.13159779065371893,3
dual,213,feasible,optimal,25994,4,5,0.0009391999992658384,0.13283729116545537,0.13283729116545537,3
dual,214,feasible,optimal,25994,4,5,0.0008689999995112885,0.13187068369410065,0.13187068369410065,3
dual,215,feasible,optimal,25994,4,5,0.001044600001478102,0.13009077660988128,0.13009077660988128,3
dual,216,feasible,optimal,25994,4,5,0.0009071999993466306,0.1299486889265382,0.1299486889265382,3
dual,217,feasible,optimal,25994,4,5,0.0009208999981638044,0.1295102153046668,0.1295102153046668,3
dual,218,feasible,optimal,25994,4,5,0.001038999998854706,0.1307857253932302,0.1307857253932302,2
dual,219,feasible,optimal,25994,4,5,0.0009454999999434222,0.13367482341602588,0.13367482341602588,2
dual,220,feasible,optimal,25994,4,5,0.0010820999996212777,0.1338822406502539,0.1338822406502539,2
dual,221,feasible,optimal,25994,4,5,0.0010312000013072975,0.13389205578950947,0.13389205578950947,3
dual,222,feasible,optimal,25994,4,5,0.0009728000004542992,0.13604615717230764,0.13604615717230764,3
dual,223,feasible,optimal,25994,4,5,0.0008916000006138347,0.14021116800836803,0.14021116800836803,3
dual,224,feasible,optimal,25994,4,5,0.001429900003131479,0.14043751488637413,0.14043751488637413,3
dual,225,feasible,optimal,25994,4,5,0.0011278999991191085,0.14061885761319617,0.14061885761319617,3
dual,226,feasible,optimal,25994,4,5,0.0009968000013031997,0.1394851128350377,0.1394851128350377,2
dual,227,feasible,optimal,25994,4,5,0.0014546000020345673,0.13963571604482666,0.13963571604482666,2
dual,228,feasible,optimal,25994,4,5,0.0009558999990986194,0.14152363544804805,0.14152363544804805,2
dual,229,feasible,optimal,25994,4,5,0.0009083000004466157,0.14061850979825116,0.14061850979825116,2
dual,230,feasible,optimal,25994,4,5,0.0009153999999398366,0.1375760466964983,0.1375760466964983,2
dual,231,feasible,optimal,25994,4,5,0.001147099999798229,0.13589102723776203,0.13589102723776203,2
dual,232,feasible,optimal,25994,4,5,0.0008998000012070406,0.13362519597097527,0.13362519597097527,2
dual,233,feasible,optimal,25994,4,5,0.0009704999974928796,0.13166732256782748,0.13166732256782748,2
dual,234,feasible,optimal,25994,4,5,0.0009104999990086071,0.13105808439597794,0.13105808439597794,2
dual,235,feasible,optimal,25994,4,5,0.0011059999997087289,0.1306947509871804,0.1306947509871804,2
dual,236,feasible,optimal,25994,4,5,0.0010619999993650708,0.1269129318776997,0.1269129318776997,2
dual,237,feasible,optimal,25994,4,5,0.001546200001030229,0.12489494512023126,0.12489494512023126,2
dual,238,feasible,optimal,25994,4,5,0.00141290000101435,0.12223090703021652,0.12223090703021652,2
dual,239,feasible,optimal,25994,4,5,0.0014417999991565011,0.12134409205258932,0.12134409205258932,2
dual,240,feasible,optimal,25994,4,5,0.00134030000117491,0.12272435906087871,0.12272435906087871,2
dual,241,feasible,optimal,25994,4,5,0.0013115000001562294,0.12516531368239667,0.12516531368239667,2
dual,242,feasible,optimal,25994,4,5,0.0011741999987862073,0.12688023667940984,0.12688023667940984,2
dual,243,feasible,optimal,25994,4,5,0.0020396999971126206,0.12808785479707246,0.12808785479707246,2
dual,244,feasible,optimal,25994,4,5,0.0014241999997466337,0.1296101317673259,0.1296101317673259,2
dual,245,feasible,optimal,25994,4,5,0.0010812000000441913,0.13028848935416734,0.13028848935416734,2
dual,246,feasible,optimal,25994,4,5,0.0013001000006624963,0.13028588263725377,0.13028588263725377,2
dual,247,feasible,optimal,25994,4,5,0.0010478000003786292,0.1318943369080439,0.1318943369080439,2
dual,248,feasible,optimal,25994,4,5,0.0011522999993758276,0.13202983591561493,0.13202983591561493,2
dual,249,feasible,optimal,25994,4,5,0.0013061999998171814,0.13179290315820277,0.13179290315820277,2
dual,250,feasible,optimal,25994,4,5,0.0014004000004206318,0.12979625061398023,0.12979625061398023,2
dual,251,feasible,optimal,25994,4,5,0.0010421000006317627,0.12919084631780148,0.12919084631780148,2
dual,252,feasible,optimal,25994,4,5,0.0011221000022487715,0.12769920921470246,0.12769920921470246,2
dual,253,feasible,optimal,25994,4,5,0.0010708999980124645,0.1253195057526539,0.1253195057526539,2
dual,254,feasible,optimal,25994,4,5,0.0012530000021797605,0.12427618072187789,0.12427618072187789,2
dual,255,feasible,optimal,25994,4,5,0.0013494000013452023,0.12512760054071836,0.12512760054071836,2
dual,256,feasible,optimal,25994,4,5,0.0014058000015211292,0.12704517524764714,0.12704517524764714,2
dual,257,feasible,optimal,25994,4,5,0.0012492999994719867,0.12769042019232413,0.12769042019232413,2
dual,258,feasible,optimal,25994,4,5,0.0011143999981868546,0.12799960652322576,0.12799960652322576,2
dual,259,feasible,optimal,25994,4,5,0.001251800000318326,0.13074523950481068,0.13074523950481068,2
dual,260,feasible,optimal,25994,4,5,0.0014228000000002794,0.136708898929057,0.136708898929057,2
dual,261,feasible,optimal,25994,4,5,0.0015127000006032176,0.14257331838441956,0.14257331838441956,2
dual,262,feasible,optimal,25994,4,5,0.0018779999991238583,0.1471095974560466,0.1471095974560466,2
dual,263,feasible,optimal,25994,4,5,0.0016579000002820976,0.1519458772420889,0.1519458772420889,2
dual,264,feasible,optimal,25994,4,5,0.0014301999981398694,0.1528553936708883,0.1528553936708883,2
dual,265,feasible,optimal,25994,4,5,0.001975699997274205,0.1543104747089668,0.1543104747089668,2
dual,266,feasible,optimal,25994,4,5,0.001652700000704499,0.15589041526495762,0.15589041526495762,2
dual,267,feasible,optimal,25994,4,5,0.0018168999995396007,0.15764393731102674,0.15764393731102674,2
dual,268,feasible,optimal,25994,4,5,0.001839800002926495,0.16137411053509892,0.16137411053509892,2
dual,269,feasible,optimal,25994,4,5,0.0016501999998581596,0.16201146455572635,0.16201146455572635,2
dual,270,feasible,optimal,25994,4,5,0.001974899998458568,0.16182128088208098,0.16182128088208098,2
dual,271,feasible,optimal,25994,4,5,0.0018899999995483086,0.16055969751126428,0.16055969751126428,2
dual,272,feasible,optimal,25994,4,5,0.0022195999990799464,0.1615715588687342,0.1615715588687342,2
dual,273,feasible,optimal,25994,4,5,0.002549900000303751,0.1602191155158813,0.1602191155158813,2
dual,274,feasible,optimal,25994,4,5,0.0020278000010875985,0.1607491752283422,0.1607491752283422,2
